product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Moomochi Standee,Fapolantern (Collab) Takamoom,Collab,Standee,3,72,0,-18,54,0,54,1.62,27.0,25.380000000000003
Lil Beast Sticker,Vetarix (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
Lil Beast Sticker,Vetarix (Original),Original,Sticker,7,35,0,0,35,0,35,1.05,10.5,23.450000000000003
Cake Rising Print,SweetDreamCoffee (Original),Original,Print,1,15.42,0,0,15.42,0,15.42,0.46,2.5,12.459999999999999
Cake Rising Print,SweetDreamCoffee (Original),Original,Print,1,15,0,0,15,0.9,15.9,0.48,2.5,12.92
Full Fridge Print,Better With Salt (Original),Original,Print,2,30,0,0,30,0.9,30.9,0.93,5.0,24.97
Iconic Plant Girl (Standee),Skullgeist (Original),Original,Standee,1,26.1,0,0,26.1,0,26.1,0.78,10.0,15.32
Iconic Plant Girl (Standee),Skullgeist (Original),Original,Standee,6,151.72,-1.28,0,150.44,0,150.44,4.51,20.0,125.93
Kanna Sticker,Angstrom (Original),Original,Sticker,12,60,-1.5,0,58.5,0,58.5,1.75,18.0,38.75
Yore Valentines Day Sticker,Radavaris (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.0,3.8499999999999996
Yore Valentines Day Sticker,Radavaris (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.0,3.8499999999999996
Orpheus Print,Radium225 (Original),Original,,0,15,0,-15,0,0,0,0.0,0.0,0.0
Liz Standee,Skullgeist (Original),Original,Standee,6,152.32,-1.28,0,151.04,0,151.04,4.53,20.0,126.50999999999999
X-BurgerG0dde55_Xx Photocard Set,KappAllNight (Original),Original,Photocard,4,100,0,0,100,0,100,3.0,30.0,67.0
X-BurgerG0dde55_Xx Photocard Set,KappAllNight (Original),Original,Photocard,2,52.2,0,0,52.2,0,52.2,1.57,15.0,35.63
Miffu TigerEye Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
AB-Xrd Temperature,Lewdwok (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Airing out the Gals,SuperSpoe (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Sneaker Mommy Sticker,Crystalcheese (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
MIL-K Sticker,StixDraws (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Flimsy Fashion Print,SweetDreamCoffee (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Flame Gal Pap Sticker,Bulumblebee (Original),Original,Sticker,7,35,0,0,35,0,35,1.05,10.5,23.450000000000003
Flame Gal Pap Sticker,Bulumblebee (Original),Original,Sticker,5,25,0,0,25,0,25,0.75,7.5,16.75
Mommy's Got Meat Physical Doujin,BobberKyu (Original),Original,Book,1,25,0,0,25,0,25,0.75,10.0,14.25
Berry Clear Water Bottle,Bermuda (Collab) Berry,Collab,Water Bottle,1,29,0,0,29,0,29,0.87,22.95,5.18
Koi Girl Sticker Collection,Radium225 (Original),Original,Sticker,1,20.99,0,0,20.99,0,20.99,0.63,7.5,12.86
Get Hearted Sticker,Fumetsu No Tora (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Fridge Raid,Mistko (Original),Original,,1,20,0,0,20,0,20,0.6,3.0,16.4
